0001,00006,4
0001,00002,3
0001,00003,2
0002,00005,4
0002,00002,3
0002,00003,4
0003,00001,4
0004,00005,1
0005,00004,3
0006,00008,4
0007,00009,5
0009,00007,2
0012,00012,3
0015,00019,2
0014,00014,1
0016,00013,2
0017,00015,3
0018,00017,4
0020,00018,5
0008,00020,3
0001,00002,4
0001,00002,3
0001,00003,2
0002,00005,4
0002,00004,3
0002,00003,4
0003,00001,4
0004,00005,1
0005,00006,3
0006,00013,4
0007,00009,5
0009,00007,2
0012,00012,3
0015,00019,2
0014,00017,1
0016,00008,2
0017,00015,3
0018,00014,4
0020,00020,5
0008,00018,1
